,paragraph_id,text,length
0,0,"THE MAIN TEA ETA AUTOMAT U TEMAMA ANATUAN US 20180282715A1 ( 19 ) United States ( 12 ) Patent Application Publication ( 10 ) Pub . No . : US 2018 / 0282715 A1 Carter et al . ( 43 ) Pub . Date : Oct . 4 , 2018 
 ( 54 ) NOVEL CRISPR - ASSOCIATED ( CAS ) PROTEIN 
 ( 71 ) Applicant : Caribou Biosciences , Inc . , Berkeley , 
 CA ( US ) 
 ( 72 ) Inventors : Matthew Merrill Carter , Berkeley , CA ( US ) ; Paul Daniel Donohoue , Berkeley . 
 CA ( US ) Publication Classification 
 ( 51 ) Int . Cl . 
 C12N 9 / 22 ( 2006 . 01 ) 
 C12N 15 / 11 ( 2006 . 01 ) C12N 15 / 85 ( 2006 . 01 ) 
 C12N 15 / 113 ( 2006 . 01 ) 
 ( 52 ) U . S . Cl . ??? . . . . C12N 9 / 22 ( 2013 . 01 ) ; C12N 15 / 11 
 ( 2013 . 01 ) ; C12N 2800 / 22 ( 2013 . 01 ) ; C12N 15 / 1136 ( 2013 . 01 ) ; C12N 2310 / 20 ( 2017 . 05 ) ; C12N 15 / 85 ( 2013 . 01 ) 
 ABSTRACT 
 A new CRISPR - associated ( Cas ) protein , termed “ CasM , ” is described , as well as polynucleotides encoding the same and methods of using CasM for site - specific genome engineer ing . CasM proteins are capable of targeting and cleaving 
 single - stranded RNA . Specification includes a Sequence Listing . ( 21 ) Appl . No . : 15 / 937 , 840 
 ( 57 ) ( 22 ) Filed : Mar . 27 , 2018 
 Related U . S . Application Data 
 ( 60 ) Provisional application No . 62 / 477 , 494 , filed on Mar . 28 , 2017 , provisional application No . 62 / 629 , 641 , filed on Feb . 12 , 2018 .",1413
1,1,"Patent Application Publication Oct . 4 , 2018 Sheet 1 of 5 US 2018 / 0282715 A1 
RKHK FIG . 1",93
2,2,"Patent Application Publication Oct . 4 , 2018 Sheet 2 of 5 US 2018 / 0282715 A1 
 472 
 471 20 
 . LIILOTTI 475 104 
Loe 470 - - - 473 
 @ @ @ 
 O 
 4 - 
 474 
 FIG . 2",168
3,3,"Patent Application Publication Oct . 4 , 2018 Sheet 3 of 5 US 2018 / 0282715 A1 
| 1 | 2 | 3 | 4 5 6 7 1 2 . 3 4 5 6 
 + 480 
 - 481 
 FIG . 3",142
4,4,"Patent Application Publication Oct . 4 , 2018 Sheet 4 of 5 US 2018 / 0282715 A1 
 472 471 
 490 TIID 491 
 473 473 470 
 FIG . 4 
 492 493 494 
 TIID - 
 am 31 5 AL O ETSERIER 
 RET 
 495 495 495 
 496 - 
 AP 
 543 ' 498 496 53 ' 497 53 3 497 499 
 FIG . 5",256
5,5,"Patent Application Publication Oct . 4 , 2018 Sheet 5 of 5 US 2018 / 0282715 A1 
 . . . 
 . . . . . . . . . . . . . 
 . . . . 1 . . 1 . iii 
 st | 03 | | 41 | 4 | 01 | * * | 4 | 99 | 0 | 71 711 FIG . 6 
 501 - 500 - 502 503",223
6,6,"US 2018 / 0282715 A1 Oct . 4 , 2018 
 NOVEL CRISPR - ASSOCIATED ( CAS ) PROTEIN 
 CROSS - REFERENCE TO RELATED 
 APPLICATIONS 
 [ 0001 ] This application claims the benefit under 35 U . S . C . $ 119 ( e ) ( 1 ) of U . S . Provisional Application Nos . 62 / 477 , 494 , filed 28 Mar . 2017 , and 62 / 629 , 641 , filed 12 Feb . 2018 , which applications are incorporated herein by reference in their entireties . 
 TECHNICAL FIELD 
 [ 0002 ] The present invention relates to Clustered Regu larly Interspaced Short Palindromic Repeats ( CRISPR ) sys 
 tems . In particular , the invention relates to a new CRISPR associated ( Cas ) protein , termed “ CasM , ” and the uses of CasM for site - specific nucleic acid engineering . 
 BACKGROUND OF THE INVENTION 
 [ 0003 ] Clustered Regularly Interspaced Short Palindromic 
 Repeats ( CRISPR ) and CRISPR - associated ( Cas ) proteins 
 are found in prokaryotic immune systems . These systems 
 provide resistance against exogenous genetic elements , such as viruses and plasmids , by targeting their nucleic acids for degradation , in a sequence - specific manner . 
 [ 0004 ] There are several different CRISPR - Cas systems and the nomenclature and classification of these have changed as the systems have been characterized . In particu lar , CRISPR - Cas systems have now been reclassified into two classes , containing several types and subtypes ( Ma 
 karova et al . , Nature Reviews Microbiology ( 2015 ) 13 : 1 - 15 ; Shmakov et al . , Nature Reviews Microbiology ( 2017 ) 15 : 169 - 182 ) . This classification is based upon identifying all cas genes in a CRISPR - Cas locus and then determining the 
 signature genes in each CRISPR - Cas locus , thereby deter 
 mining whether the CRISPR - Cas systems should be placed 
 in either Class 1 or Class 2 based upon the genes encoding the effector module , i . e . , the proteins involved in the inter ference stage . 
 [ 0005 ] There remains a need to discover and characterize new CRISPR - associated ( Cas ) proteins , and their potential use for site - specific nucleic acid engineering . [ 0008 ] In further embodiments , the invention is directed to a complex comprising a CasM protein , and a cognate nucleic 
 acid guide . In certain embodiments , the cognate nucleic acid guide in the complex comprises a repeat sequence and a 
 spacer sequence , wherein the repeat sequence and the spacer 
 sequence do not naturally occur together . In certain embodi ments , the cognate nucleic acid guide comprises a modified base analog 
 [ 0009 ] In additional embodiments , the cognate nucleic acid guide comprises RNA , such as , but not limited to , crRNA . In some embodiments , the cognate nucleic acid guide , such as crRNA , comprises a spacer sequence that is 
 complementary to a DNA or RNA target sequence that occurs in a prokaryotic or eukaryotic cell . 
 [ 0010 ] In further embodiments , the crRNA / CasM protein complex is capable of binding to a first RNA target sequence complementary to the crRNA spacer sequence , wherein binding of the crRNA / CasM protein complex results in the cleavage of a first RNA target . In additional embodiments , after cleavage of the first RNA target sequence by the crRNA / CasM protein complex , the complex is capable of 
 non - specific endonuclease activity toward any single stranded RNA in a sequence independent manner . 
 [ 0011 ] In further embodiments , the complex modifies the transcription or translation of a target locus in cell . 
 [ 0012 ] In additional embodiments , the invention is directed to an isolated polynucleotide encoding a CasM protein , wherein the CasM protein is capable of producing a single - strand break at an RNA target site when guided to 
 the RNA target site by a cognate nucleic acid guide . In 
 certain embodiments , the cognate nucleic acid guide com 
 prises RNA , such as crRNA . In additional embodiments , the 
 CasM protein encoded by the polynucleotide comprises an 
 amino acid sequence selected from the group consisting of 
 the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 ; an 
 ortholog of the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 , i . e . , a CasM sequence from a species other than the 
 species producing the reference sequence ; and a variant of 
 the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 , e . g . , an active homolog of the reference amino acid sequence . 
 [ 0013 ] In further embodiments , the invention is directed to a modified polynucleotide encoding a CasM protein , 
 wherein the CasM protein is capable of producing a single 
 strand break at an RNA target site when guided to the RNA target site by a cognate nucleic acid guide , wherein the 
 polynucleotide is modified relative to its native sequence , 
 such as modified for expression in a selected host cell . In 
 additional embodiments , the CasM protein encoded by the polynucleotide comprises an amino acid sequence selected 
 from the group consisting of the amino acid sequence of 
 SEQ ID NOS : 37 - 44 or 45 ; an ortholog of the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 , i . e . , a CasM sequence from a species other than the species producing the 
 reference sequence ; and a variant of the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 , e . g . , an active homolog of the reference amino acid sequence . 
 [ 0014 ] In certain embodiments , the polynucleotide is modified for expression in a bacterial cell , such as for expression in an Escherichia coli cell . In certain embodi ments , the polynucleotide comprises the sequence of SEQ ill 
 NOS : 2 - 8 or 9 . 
 [ 0015 ] . In other embodiments , the polynucleotide is modi fied for expression in a eukaryotic cell , e . g . , a mammalian SUMMARY 
 [ 0006 ] The present invention is based on the discovery of 
 a new Cas protein , termed “ CasM ” herein . This protein shares no homology to any known Cas protein or to any known protein family . 
 [ 0007 ] Accordingly , in one aspect , the invention is directed to an isolated CasM protein capable of producing a single - strand break at an RNA target site when guided to the RNA target site by a cognate nucleic acid guide . In certain embodiments , the cognate nucleic acid guide comprises 
 RNA , such as crRNA . In additional embodiments , the CasM protein comprises an amino acid sequence selected from the group consisting of the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 ; an ortholog of the amino acid sequence of 
 SEQ ID NOS : 37 - 44 or 45 , i . e . , a CasM sequence from a species other than the species producing the reference sequence ; and a variant of the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 , e . g . , an active homolog of the refer ence amino acid sequence .",6734
7,7,"US 2018 / 0282715 A1 Oct . 4 , 2018 
 cell , such as a human cell . In certain embodiments , the polynucleotide comprises the sequence of SEQ ID NOS : 10 
 17 or 18 . [ 0016 ] In additional embodiments , the polynucleotide is modified for expression in a plant cell , such as for expres 
 sion in a Zea mays ( corn ) cell . In certain embodiments the polynucleotide comprises the sequence of SEQ ID NOS : 19 
 26 or 27 . [ 0017 ] In further embodiments , the invention is directed to a recombinant vector comprising a polynucleotide or modi fied polynucleotide as described herein , and at least one control element operably linked to the polynucleotide , whereby a CasM coding sequence in the polynucleotide is capable of being transcribed and translated in a host cell . In 
 certain embodiments , at least one of the control elements is heterologous to the coding system . 
 [ 0018 ] In additional embodiments , the CasM protein encoded by the polynucleotide comprises an amino acid sequence selected from the group consisting of the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 ; an ortholog of 
 the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 ; and a variant of the amino acid sequence of SEQ ID NOS : 37 - 44 
 or 45 . 
 [ 0019 ] In further embodiments , the invention is directed to a host cell transformed with a recombinant vector described herein . In certain embodiments , the host cell is a prokaryotic or eukaryotic cell . [ 0020 ] In additional embodiments , the invention is directed to a method of producing a CasM protein compris ing providing a population of host cells transformed with a recombinant vector as described herein ; and culturing the population of cells under conditions whereby the CasM protein encoded by the polynucleotide present in the recom binant vector is expressed . 
 [ 0021 ] In further embodiments , the invention is directed to a eukaryotic host cell comprising a CasM protein of a complex comprising the CasM protein , as described herein . 
 [ 0022 ] In additional embodiments , the invention is directed to a method of directing a CasM protein to a selected nucleic acid target sequence , comprising contacting the selected nucleic acid target sequence with a cognate nucleic acid guide / CasM complex that targets said selected nucleic acid target sequence , whereby the CasM protein is 
 delivered to the nucleic acid target sequence . In certain embodiments , the nucleic acid target sequence comprises 
 RNA , such as mRNA . In further embodiments , the method comprises producing one or more single - or double - strand breaks in the target sequence . 
 10023 ] . In additional embodiments , the method is per formed in a cell , such as a prokaryotic or eukaryotic cell . In certain embodiments , the cell constitutively expresses the CasM protein . In other embodiments , e . g . , when the cell does not constitutively express the CasM protein , the cog 
 nate nucleic acid guide is complexed to the CasM protein prior to delivery to the nucleic acid target sequence . In other embodiments , the cell constitutively expresses the CasM protein and the cognate nucleic acid guide . In additional 
 embodiments , the complex modifies the transcription or 
 translation of a selected nucleic acid sequence in a host cell , such as a RNA sequence . 
 [ 0024 ] In further embodiments of the methods , the CasM protein comprises an amino acid sequence selected from the group consisting of the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 ; an ortholog of the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 ; and a variant of the amino acid sequence of SEQ ID NOS : 37 - 44 or 45 . 
 [ 0025 ] In other embodiments of the methods , a donor polynucleotide is delivered to the region of the selected nucleic acid target sequence . [ 0026 ] In additional embodiments , the CasM protein is capable of processing the CRISPR repeat - spacer array into 
 individual repeat - spacer elements . The CasM protein 
 cleaves the array within the 5 ' region of each repeat 
 sequence , giving rise to a processed crRNA comprising , in 
 a 5 ' to 3 ' direction , a repeat sequence and a spacer element . 
 [ 0027 ] In some embodiments the repeat sequence com prises a secondary structure that is recognized by the CasM protein . The secondary structure of the repeat may comprise 
 a stem , a stem - loop duplex , a pseudoknot , or a tripartite duplex . CasM protein homologs may only recognize the 
 repeat sequence or secondary structure of their cognate repeat elements . Alternatively , CasM protein homologs may recognize the repeat sequence or secondary structure of 
 non - cognate repeat elements . 
 [ 0028 ] In some embodiments the crRNA / CasM complex is capable of sequence - specific single - stranded RNA activ ity . Recognition and cleavage of an initial ssRNA comple mentary to the crRNA target sequence activates the CasM protein to carry out endonuclease activity toward any single 
 stranded RNA in a sequence - independent manner . The sequence - specific recognition of RNA of the crRNA / CasM complex facilitates the target knockdown of gene transcripts 
 perturbing translation of a specific protein . The non - specific endonuclease activity of an activated crRNA / CasM complex 
 in a cellular environment can result in cell death due to depletion of RNA encoding for essential gene transcripts . 
 The specific RNA targeting and collateral endonuclease activity of an activated crRNA / CasM complex enables the sequence - specific selection of cells expressing a RNA tran 
 script . 
 [ 0029 ] In a further aspect , the present invention relates to a method of screening and killing cells that have not been modified by a DNA targeting nuclease ( e . g . , a Type II Cas9 nuclease ) . This method comprises contacting a crRNA / Cas9 
 complex to a locus of interest in a population of cells . 
 Contacting the NATNA / Cas9 complex results in DNA cleav age and subsequent repair of the break by the endogenous 
 cellular repair machine and the introduction of insertion and 
 deletions ( ' indels "" ) at the break site . The targeting of the 
 NATNA / Cas9 to a targeted locus that encodes an RNA transcript results in indels in an RNA transcript sequence . This modified RNA transcript sequence is different com pared to a transcript from an unmodified cell ( a wild - type cell ) . A cognate nucleic acid guide / CasM complex can then be targeted to the unmodified transcript , wherein recognition of the unmodified transcript by the complex results in activation of the sequence independent , single - stranded RNA targeting activity of the CasM protein and subsequent cell death . Alternatively , this method can be adapted to 
 screen for the incorporation of a donor - polynucleotide into 
 NATNA / Cas9 break site . ( 0030 ] These aspects and other embodiments of the pres ent invention will readily occur to those of ordinary skill in 
 the art in view of the disclosure herein . 
 INCORPORATION BY REFERENCE 
 ( 0031 ] All publications , patents , and patent applications 
 mentioned in this specification are herein incorporated by er meget me re spielen",7142
8,8,"US 2018 / 0282715 A1 Oct . 4 , 2018 
 reference to the same extent as if each individual publica tion , patent , or patent application was specifically and indi vidually indicated to be incorporated by reference . 
 SEQUENCE LISTING 
 [ 0032 ] The sequences referred to herein are listed in the Sequence Listing submitted as an ASCII text file entitled “ CB1025 10 _ ST25 . txt ” - 300 KB and was created on Mar . 22 , 2018 . The Sequence Listing entitled “ CB1025 10 _ ST25 . txt "" is incorporated herein by reference in its entirety . 
 BRIEF DESCRIPTION OF THE FIGURES 
 [ 0033 ] FIG . 1 depicts a representative CasM operon from 
 Eubacterium siraeum ( NCBI Accession No . NZ _ DS499551 . 1 ) . [ 0034 ] FIG . 2 shows a structure of a CasM repeat sequence ( SEQ ID NO : 51 ) . [ 0035 ] FIG . 3 shows the results of the in vitro CRISPR array cleavage assay described in the Examples . 
 [ 0036 ] FIG . 4 shows a depiction of a synthetic CasM CRISPR array . [ 0037 ] FIG . 5 shows a representation of the results of the in vitro CRISPR array cleavage assay results shown in FIG . 
 3 and described in the Examples . 
 [ 0038 ] FIG . 6 shows the results of the CasM ssRNA cleavage assay described in the Examples . 
 DETAILED DESCRIPTION OF THE INVENTION 
 [ 0039 ] It is to be understood that the terminology used herein is for the purpose of describing particular embodi 
 ments only , and is not intended to be limiting . As used in this specification and the appended claims , the singular forms 
 “ a , "" "" an ” and “ the ” include plural referents unless the context clearly dictates otherwise . Thus , for example , ref erence to a “ guide / Cas complex ” includes one or more such complexes , reference to “ a polynucleotide ” includes one or more polynucleotides , etc . 
 [ 0040 ] Unless defined otherwise , all technical and scien tific terms used herein have the same meaning as commonly understood by one of ordinary skill in the art to which the 
 invention pertains . Although other methods and materials 
 similar , or equivalent , to those described herein can be used in the practice of the present invention , preferred materials 
 and methods are described herein . [ 0041 ] In view of the teachings of the present specifica tion , one of ordinary skill in the art can apply conventional techniques of immunology , biochemistry , chemistry , molecular biology , microbiology , cell biology , genomics , and recombinant polynucleotides , as taught , for example , by the following standard texts : Antibodies : A Laboratory 
 Manual , Second edition , E . A . Greenfield , 2014 , Cold Spring Harbor Laboratory Press , ISBN 978 - 1 - 936113 - 81 - 1 ; Culture of Animal Cells : A Manual of Basic Technique and Special ized Applications , 6th Edition , R . I . Freshney , 2010 , Wiley 
 Blackwell , ISBN 978 - 0 - 470 - 52812 - 9 ; Transgenic Animal Technology , Third Edition : A Laboratory Handbook , 2014 , C . A . Pinkert , Elsevier , ISBN 978 - 0124104907 ; The Labo ratory Mouse , Second Edition , 2012 , H . Hedrich , Academic Press , ISBN 978 - 0123820082 ; Manipulating the Mouse Embryo : A Laboratory Manual , 2013 , R . Behringer , et al . , Cold Spring Harbor Laboratory Press , ISBN 978 - 1936113019 ; PCR 2 : A Practical Approach , 1995 , M . J . McPherson , et al . , IRL Press , ISBN 978 - 0199634248 ; Meth ods in Molecular Biology ( Series ) , J . M . Walker , ISSN 1064 - 3745 , Humana Press ; RNA : A Laboratory Manual , 2010 , D . C . Rio , et al . , Cold Spring Harbor Laboratory Press , ISBN 978 - 0879698911 ; Methods in Enzymology 
 ( Series ) , Academic Press ; Molecular Cloning : A Laboratory 
 Manual ( Fourth Edition ) , 2012 , M . R . Green , et al . , Cold Spring Harbor Laboratory Press , ISBN 978 - 1605500560 ; Bioconjugate Techniques , Third Edition , 2013 , G . T . Her 
 manson , Academic Press , ISBN 978 - 0123822390 ; Methods in Plant Biochemistry and Molecular Biology , 1997 , W . V . 
 Dashek , CRC Press , ISBN 978 - 0849394805 ; Plant Cell Culture Protocols ( Methods in Molecular Biology ) , 2012 , V . M . Loyola - Vargas , et al . , Humana Press , ISBN 978 1617798177 ; Plant Transformation Technologies , 2011 , C . N . Stewart , et al . , Wiley - Blackwell , ISBN 978 - 0813821955 ; Recombinant Proteins from Plants ( Methods in Biotechnol ogy ) , 2010 , C . Cunningham , et al . , Humana Press , ISBN 978 - 1617370212 ; Plant Genomics : Methods and Protocols ( Methods in Molecular Biology ) , 2009 , D . J . Somers , et al . , 
 Humana Press , ISBN 978 - 1588299970 ; Plant Biotechnol 
 ogy : Methods in Tissue Culture and Gene Transfer , 2008 , R . 
 Keshavachandran , et al . , Orient Blackswan , ISBN 978 8173716164 . 
 [ 0042 ] As used herein , “ a CasM protein ” refers to a CRISPR protein capable of targeting RNA and causing single - strand RNA breaks when guided to a target site by a crRNA , without the necessity of association with a tracr RNA . CasM proteins typically include two or more higher eukaryotic and prokaryotic nucleotide - binding ( HEPN ) 
 domains found in protein family PF05168 in the C - terminal region of the CasM sequence . CasM proteins show synteny with one or more WYL domain - containing proteins and sometimes with RtcB ( RNA 3 ' - terminal phosphate cyclase , group B ) domain - containing proteins . Based on the forego 
 ing characteristics , CasM may be classified as a Class 2 Type VI CRISPR - Cas system because it is a single effector protein containing two HEPN domains used for targeted ssRNA 
 interference . However , CasM has a very low degree of sequence similarity to other Type VI subtypes . Exemplary 
 CasM proteins are shown in SEQ ID NOS : 37 - 45 , and are encoded by polynucleotides shown in SEQ ID NOS : 28 - 36 , respectively . These proteins display approximately 13 . 59 % to 99 . 82 % sequence identity to each other and show less than 8 % sequence identity with other known CRISPR - Cas proteins . As used herein , the term “ CasM protein ” refers to 
 a CasM protein derived from any species , subspecies , or 
 strain of bacteria that encodes the CasM protein , as well as an ortholog of the CasM protein , i . e . , a CasM protein from a species other than the species producing the reference 
 CasM protein . For example , CasM orthologs of Eubacte rium siraeum CasM , shown in Table 1 , display approxi mately 13 . 59 % to 99 . 82 % sequence identity to each other . Thus , CasM orthologs are identified based on the CasM characteristics detailed herein . Reference to a CasM protein also encompasses a variant of the reference CasM protein , 
 e . g . , an active homolog of the reference amino acid sequence . Thus , CasM proteins include , but are not limited to , those proteins depicted in SEQ ID NOS : 37 - 45 , orthologs 
 thereof , or variants thereof . Non - limiting examples of such 
 proteins include CasM proteins from Eubacterium siraeum ; 
 Ruminococcus sp . , such as from Ruminococcus bicirculans ; 
 Ruminococcus flavefaciens , such as , but not limited to , FD - 1 and strain XPD3002 ; Ruminococcus albus such as , but not",7082
9,9,"US 2018 / 0282715 A1 Oct . 4 , 2018 
 limited to , strain KH2T6 ; Ruminococcus sp . isolates , such as but not limited to , isolates 2789STDY5834971 , 2789STDY5608892 and 2789STDY5834894 . [ 0043 ] By “ dCasM protein ” is meant a deactivated CasM protein lacking activity , such as catalytic and / or binding 
 activity , also termed "" dead CasM . ” Such molecules lack all or a portion of biological activity , such as nuclease and / or binding activity , and are therefore unable to bind and / or 
 cleave a target nucleic acid of interest , respectively . In some 
 embodiments , these deactivated CasM proteins can be used to regulate genes in a nucleic acid - guided manner . This is accomplished by introducing mutations that inactivate CasM nuclease function and typically involves mutating catalytic residues of the gene encoding CasM . dCasM can be used alone or in fusions to synthetically repress ( CRISPR interference or CRISPRi ) or activate ( CRISPR activation or CRISPR? ) gene expression . CRISPRI can work indepen 
 dently of host cellular machineries . In some embodiments a dCasM protein and a customized nucleic acid - targeting nucleic acid , i . e . , a cognate nucleic acid guide designed with a complementary region to any gene of interest , are used to 
 direct d?asM to a chosen genomic location . In other 
 embodiments , dCasM can be fused to a transcription factor , such as a repressor , and the fused dCasM - transcription 
 factor can then work in concert with cellular machineries . CRISPRa is carried out by dCasM - transcription factor ( acti 
 vator ) fusions . 
 [ 0044 ] A “ nucleic acid - targeting nucleic acid ” ( NATNA ) , as used herein , refers to one or more polynucleotides that guide a protein , such as a CasM protein , to preferentially 
 target a nucleic acid target sequence present in a polynucle 
 otide ( relative to a polynucleotide that does not comprise the nucleic acid target sequence ) . Such NATNAs are also known herein as "" cognate nucleic acid guides , ” or “ cognate guides . ” NATNAs can comprise ribonucleotide bases ( e . g . , RNA ) , deoxyribonucleotide bases ( e . g . , DNA ) , combina 
 tions of ribonucleotide bases and deoxyribonucleotide bases ( e . g . , RNA / DNA ) , nucleotides , nucleotide analogs , modified nucleotides , and the like , as well as synthetic , naturally occurring , and non - naturally occurring modified backbone 
 residues or linkages . Thus , a NATNA as used herein site - specifically guides a CasM , or a deactivated CasM , to a target nucleic acid . Many such NATNAs are known , such as but not limited to sgRNA ( including miniature and truncated 
 single - guide RNAs ) , crRNA , dual - guide RNA , including but not limited to , crRNA / tracrRNA molecules , as described herein , and the like , the use of which depends on the particular Cas protein . For a non - limiting description of exemplary NATNAS , see , e . g . , PCT Publication No . WO 2014 / 150624 to May et al . , published Sep . 29 , 2014 ; PCT Publication No . WO 2015 / 200555 to May et al . , published Mar . 10 , 2016 ; PCT Publication No . WO 2016 / 201155 to Donohoue et al . , published Dec . 15 , 2016 ; PCT Publication No . WO 2017 / 027423 to Donohoue et at , published Feb . 16 , 2017 ; and PCT Publication No . WO 2016 / 123230 to May et al . , published Aug . 4 , 2016 ; each of which is incorporated 
 herein by reference in its entirety . 
 [ 0045 ] With reference to a NATNA or a cognate nucleic acid guide , a “ spacer , "" "" spacer sequence , ” or “ spacer ele ment , ” as used herein , refers to the polynucleotide sequence that can specifically hybridize to a target nucleic acid 
 sequence . The spacer element interacts with the target nucleic acid sequence through hydrogen bonding between complementary base pairs ( i . e . , paired bases ) . A spacer element binds to a selected nucleic acid target sequence . Accordingly , the spacer element is the nucleic acid target 
 binding sequence . The spacer element determines the loca tion of a Cas protein ' s site - specific binding and nucleolytic cleavage . Spacer elements range from approximately 17 to approximately 84 nucleotides in length and have an average 
 length of 36 nucleotides ( see , e . g . , Marraffini , et al . , “ CRISPR interference : RNA - directed adaptive immunity in 
 bacteria and archaea , ” Nature reviews Genetics ( 2010 ) 11 : 181 - 190 ) . Variability of the functional length for a spacer element is known in the art ( e . g . , U . S . Patent Publication 2014 / 0315985 to May et al . , published Oct . 23 , 2014 , incorporated herein by reference in its entirety ) . The terms “ nucleic acid target binding sequence ” and “ spacer sequence ” are used interchangeably herein . [ 0046 ] The term "" gRNA ” typically refers to a single guide RNA i . e . , a single , contiguous polynucleotide 
 sequence ) that essentially comprises a crRNA connected at its 3 ' end to the 5 ' end of a tracrRNA through a "" loop "" sequence ( see , e . g . , U . S . Published Patent Application No . 
 2014 / 0068797 to Duudna et al . , published 6 Mar . 2014 , incorporated herein by reference in its entirety ) . SgRNA interacts with a cognate Cas protein essentially as described 
 for tracrRNA / crRNA polynucleotides . Similar to crRNA , sgRNA has a spacer , a region of complementarity to a potential DNA or RNA target sequence , adjacent a second 
 region that forms base - pair hydrogen bonds that form a 
 secondary structure , typically a stem structure . The term includes truncated single - guide RNAs ( tru - sgRNAs ) of approximately 17 - 18 nucleotides ( nt ) ( see , e . g . , Fu et . al . , Nat Biotechnol . ( 2014 ) 32 : 279 - 284 ) . The term also encom passes functional miniature sgRNAs with expendable fea 
 tures removed , but that retain an essential and conserved module termed the “ nexus ” located in the portion of sgRNA that corresponds to tracrRNA ( not crRNA ) . See , e . g . , U . S . Patent Publication 2014 / 0315985 to May et al . , published Oct . 23 , 2014 , incorporated herein by reference in its entirety ; Briner et al . , “ Guide RNA Functional Modules Direct Cas9 Activity and Orthogonality , ” Molecular Cell ( 2014 ) 56 : 333 - 339 . 
 ( 0047 ] As used herein , "" dual - guide RNA ” refers to a two - component RNA system for a polynucleotide compo 
 nent capable of associating with a cognate Cas protein . A 
 representative CRISPR Class 2 Type II CRISPR - Cas - asso 
 ciated dual - guide RNA includes a Cas - crRNA and Cas tracrRNA , paired by hydrogen bonds to form secondary 
 structure ( see , e . g . , U . S . Published Patent Application No . 2014 / 0068797 to Doudna et al . , published 6 Mar . 2014 , incorporated herein by reference in its entirety ; see also 
 Jinek M . , et al . , Science 337 : 816 - 21 ( 2012 ) ) . A Cas - dual guide RNA is capable of forming a nucleoprotein complex with a cognate Cas protein , wherein the complex is capable of targeting a nucleic acid target sequence complementary to the spacer sequence . 
 [ 0048 ] As used herein , the term "" cognate ” typically refers to a Cas protein ( e . g . , CasM protein ) and one or more polynucleotides ( e . g . , a CRISPR - CasM - associated cognate 
 nucleic acid guide ) capable of forming a nucleoprotein complex for site - directed binding to a nucleic acid target sequence complementary to the nucleic acid target binding sequence present in one of the one or more polynucleotides . [ 0049 ] The terms "" wild - type , ” “ naturally - occurring , "" “ native , "" and "" unmodified ” are used herein to mean the typical ( or most common ) form , appearance , phenotype , or",7664
